,region,structure_id,A/P,D/V,M/L,horizontal_position,vertical_position,is_valid,cortical_depth
201,none,0,-1.0,-1.0,-1.0,11,2020,True,-1.0
202,none,0,-1.0,-1.0,-1.0,59,2040,True,-1.0
203,none,0,-1.0,-1.0,-1.0,27,2040,True,-1.0
204,none,0,-1.0,-1.0,-1.0,43,2060,True,-1.0
205,none,0,-1.0,-1.0,-1.0,11,2060,True,-1.0
206,none,0,-1.0,-1.0,-1.0,59,2080,True,-1.0
207,none,0,-1.0,-1.0,-1.0,27,2080,True,-1.0
208,none,0,-1.0,-1.0,-1.0,43,2100,True,-1.0
209,none,0,-1.0,-1.0,-1.0,11,2100,True,-1.0
210,none,0,-1.0,-1.0,-1.0,59,2120,True,-1.0
211,none,0,-1.0,-1.0,-1.0,27,2120,True,-1.0
212,none,0,-1.0,-1.0,-1.0,43,2140,True,-1.0
213,none,0,-1.0,-1.0,-1.0,11,2140,True,-1.0
214,none,0,-1.0,-1.0,-1.0,59,2160,True,-1.0
215,none,0,-1.0,-1.0,-1.0,27,2160,True,-1.0
216,none,0,-1.0,-1.0,-1.0,43,2180,True,-1.0
217,none,0,-1.0,-1.0,-1.0,11,2180,True,-1.0
218,none,0,-1.0,-1.0,-1.0,59,2200,True,-1.0
219,none,0,-1.0,-1.0,-1.0,27,2200,True,-1.0
220,none,0,-1.0,-1.0,-1.0,43,2220,True,-1.0
221,none,0,-1.0,-1.0,-1.0,11,2220,True,-1.0
222,none,0,-1.0,-1.0,-1.0,59,2240,True,-1.0
223,none,0,-1.0,-1.0,-1.0,27,2240,True,-1.0
224,none,0,-1.0,-1.0,-1.0,43,2260,True,-1.0
225,none,0,-1.0,-1.0,-1.0,11,2260,True,-1.0
226,none,0,-1.0,-1.0,-1.0,59,2280,True,-1.0
227,none,0,-1.0,-1.0,-1.0,27,2280,False,-1.0
228,none,0,-1.0,-1.0,-1.0,43,2300,True,-1.0
229,none,0,-1.0,-1.0,-1.0,11,2300,True,-1.0
230,none,0,-1.0,-1.0,-1.0,59,2320,True,-1.0
231,none,0,-1.0,-1.0,-1.0,27,2320,True,-1.0
232,none,0,-1.0,-1.0,-1.0,43,2340,True,-1.0
233,none,0,-1.0,-1.0,-1.0,11,2340,True,-1.0
234,none,0,-1.0,-1.0,-1.0,59,2360,True,-1.0
235,none,0,-1.0,-1.0,-1.0,27,2360,True,-1.0
236,none,0,-1.0,-1.0,-1.0,43,2380,True,-1.0
237,none,0,-1.0,-1.0,-1.0,11,2380,True,-1.0
238,VISp,0,-1.0,-1.0,-1.0,59,2400,True,1.0
239,VISp,0,-1.0,-1.0,-1.0,27,2400,True,0.988
240,VISp,0,-1.0,-1.0,-1.0,43,2420,True,0.977
241,VISp,0,-1.0,-1.0,-1.0,11,2420,True,0.965
242,VISp,0,-1.0,-1.0,-1.0,59,2440,True,0.953
243,VISp,0,-1.0,-1.0,-1.0,27,2440,True,0.942
244,VISp,0,-1.0,-1.0,-1.0,43,2460,True,0.93
245,VISp,0,-1.0,-1.0,-1.0,11,2460,True,0.919
246,VISp,0,-1.0,-1.0,-1.0,59,2480,True,0.907
247,VISp,0,-1.0,-1.0,-1.0,27,2480,True,0.895
248,VISp,0,-1.0,-1.0,-1.0,43,2500,True,0.884
249,VISp,0,-1.0,-1.0,-1.0,11,2500,True,0.872
250,VISp,0,-1.0,-1.0,-1.0,59,2520,True,0.86
251,VISp,0,-1.0,-1.0,-1.0,27,2520,True,0.849
252,VISp,0,-1.0,-1.0,-1.0,43,2540,True,0.837
253,VISp,0,-1.0,-1.0,-1.0,11,2540,True,0.826
254,VISp,0,-1.0,-1.0,-1.0,59,2560,True,0.814
255,VISp,0,-1.0,-1.0,-1.0,27,2560,True,0.802
256,VISp,0,-1.0,-1.0,-1.0,43,2580,True,0.791
257,VISp,0,-1.0,-1.0,-1.0,11,2580,True,0.779
258,VISp,0,-1.0,-1.0,-1.0,59,2600,True,0.767
259,VISp,0,-1.0,-1.0,-1.0,27,2600,True,0.756
260,VISp,0,-1.0,-1.0,-1.0,43,2620,True,0.744
261,VISp,0,-1.0,-1.0,-1.0,11,2620,True,0.733
262,VISp,0,-1.0,-1.0,-1.0,59,2640,True,0.721
263,VISp,0,-1.0,-1.0,-1.0,27,2640,True,0.709
264,VISp,0,-1.0,-1.0,-1.0,43,2660,False,0.698
265,VISp,0,-1.0,-1.0,-1.0,11,2660,True,0.686
266,VISp,0,-1.0,-1.0,-1.0,59,2680,True,0.674
267,VISp,0,-1.0,-1.0,-1.0,27,2680,True,0.663
268,VISp,0,-1.0,-1.0,-1.0,43,2700,True,0.651
269,VISp,0,-1.0,-1.0,-1.0,11,2700,True,0.64
270,VISp,0,-1.0,-1.0,-1.0,59,2720,True,0.628
271,VISp,0,-1.0,-1.0,-1.0,27,2720,True,0.616
272,VISp,0,-1.0,-1.0,-1.0,43,2740,True,0.605
273,VISp,0,-1.0,-1.0,-1.0,11,2740,True,0.593
274,VISp,0,-1.0,-1.0,-1.0,59,2760,True,0.581
275,VISp,0,-1.0,-1.0,-1.0,27,2760,True,0.57
276,VISp,0,-1.0,-1.0,-1.0,43,2780,True,0.558
277,VISp,0,-1.0,-1.0,-1.0,11,2780,True,0.547
278,VISp,0,-1.0,-1.0,-1.0,59,2800,True,0.535
279,VISp,0,-1.0,-1.0,-1.0,27,2800,True,0.523
280,VISp,0,-1.0,-1.0,-1.0,43,2820,True,0.512
281,VISp,0,-1.0,-1.0,-1.0,11,2820,True,0.5
282,VISp,0,-1.0,-1.0,-1.0,59,2840,True,0.488
283,VISp,0,-1.0,-1.0,-1.0,27,2840,True,0.477
284,VISp,0,-1.0,-1.0,-1.0,43,2860,True,0.465
285,VISp,0,-1.0,-1.0,-1.0,11,2860,True,0.453
286,VISp,0,-1.0,-1.0,-1.0,59,2880,True,0.442
287,VISp,0,-1.0,-1.0,-1.0,27,2880,True,0.43
288,VISp,0,-1.0,-1.0,-1.0,43,2900,True,0.419
289,VISp,0,-1.0,-1.0,-1.0,11,2900,True,0.407
290,VISp,0,-1.0,-1.0,-1.0,59,2920,True,0.395
291,VISp,0,-1.0,-1.0,-1.0,27,2920,True,0.384
292,VISp,0,-1.0,-1.0,-1.0,43,2940,True,0.372
293,VISp,0,-1.0,-1.0,-1.0,11,2940,True,0.36
294,VISp,0,-1.0,-1.0,-1.0,59,2960,True,0.349
295,VISp,0,-1.0,-1.0,-1.0,27,2960,True,0.337
296,VISp,0,-1.0,-1.0,-1.0,43,2980,True,0.326
297,VISp,0,-1.0,-1.0,-1.0,11,2980,True,0.314
298,VISp,0,-1.0,-1.0,-1.0,59,3000,True,0.302
299,VISp,0,-1.0,-1.0,-1.0,27,3000,True,0.291
300,VISp,0,-1.0,-1.0,-1.0,43,3020,True,0.279
301,VISp,0,-1.0,-1.0,-1.0,11,3020,True,0.267
302,VISp,0,-1.0,-1.0,-1.0,59,3040,True,0.256
303,VISp,0,-1.0,-1.0,-1.0,27,3040,False,0.244
304,VISp,0,-1.0,-1.0,-1.0,43,3060,True,0.233
305,VISp,0,-1.0,-1.0,-1.0,11,3060,True,0.221
306,VISp,0,-1.0,-1.0,-1.0,59,3080,True,0.209
307,VISp,0,-1.0,-1.0,-1.0,27,3080,True,0.198
308,VISp,0,-1.0,-1.0,-1.0,43,3100,True,0.186
309,VISp,0,-1.0,-1.0,-1.0,11,3100,True,0.174
310,VISp,0,-1.0,-1.0,-1.0,59,3120,True,0.163
311,VISp,0,-1.0,-1.0,-1.0,27,3120,True,0.151
312,VISp,0,-1.0,-1.0,-1.0,43,3140,True,0.14
313,VISp,0,-1.0,-1.0,-1.0,11,3140,True,0.128
314,VISp,0,-1.0,-1.0,-1.0,59,3160,True,0.116
